,euler,euler time,step,verlet,verlet time
0,0.23650155554069546,4.1e-05,10.0,0.9997368438109333,5.2e-05
1,0.5311973488887363,9.4e-05,20.0,0.9999641285637222,9.1e-05
2,0.6722578936991604,0.000164,30.0,0.9999894615550645,0.000148
3,0.7705577484504506,0.000357,50.0,0.9999950938733778,0.000287
4,0.8525944239791816,0.000996,100.0,0.9999968447644974,0.000884
5,0.9130751177365907,0.003648,200.0,0.9999973813821971,0.002134
6,0.9569126095806465,0.016791,500.0,0.9999975386318876,0.009726
7,0.9785272879690572,0.340275,1000.0,0.9999975740665457,0.123676
8,0.9877444202725498,1.32804,1500.0,0.9999975812792878,0.867371
9,0.9922046568437763,3.80678,2000.0,0.9999975830791865,2.33382
10,0.9959174899785559,17.3014,5000.0,0.9999975837898926,9.18633
11,0.997908293717601,81.5634,10000.0,0.9999975840263011,41.9908
